s_datecolct,s_est,m_est
9-May-16,1146,na
10-May-16,1166.9,na
11-May-16,1219.2,na
12-May-16,674,na
13-May-16,747.7,na
15-May-16,876.5,na
16-May-16,1274.7,na
17-May-16,1653.3,na
18-May-16,1750.1,na
19-May-16,1798.7,na
23-May-16,1153.8,na
24-May-16,1711.8,na
25-May-16,1320.6,na
26-May-16,765.4,na
28-May-16,1478.6,na
29-May-16,1281.5,na
1-Jun-16,1262.8,na
3-Jun-16,2299.4,na
5-Jun-16,1179.5,na
6-Jun-16,988.8,na
7-Jun-16,2092.2,na
8-Jun-16,1240,na
10-Jun-16,1620.7,na
11-Jun-16,865.9,na
12-Jun-16,909.2,na
13-Jun-16,932,na
15-Jun-16,1326.2,na
16-Jun-16,1337.4,na
17-Jun-16,1056.6,na
18-Jun-16,1336.9,na
19-Jun-16,800.9,na
20-Jun-16,1084.6,na
21-Jun-16,1186.4,na
22-Jun-16,1223.6,na
24-Jun-16,679.2,na
25-Jun-16,1785.9,na
29-Jun-16,1721.6,na
30-Jun-16,378,na
12-Jul-16,2233.2,na
13-Jul-16,1813.2,na
14-Jul-16,1539.3,na
17-Jul-16,1351.3,na
18-Jul-16,1062.5,na
19-Jul-16,1303.4,na
20-Jul-16,885.2,na
21-Jul-16,2568.9,na
22-Jul-16,1003.4,na
23-Jul-16,1105,na
24-Jul-16,868.5,na
25-Jul-16,1064.5,na
26-Jul-16,1018.7,na
27-Jul-16,776.5,na
28-Jul-16,1398.9,na
29-Jul-16,407.5,na
30-Jul-16,584.1,na
31-Jul-16,717.2,na
1-Aug-16,2656.3,na
3-Aug-16,1132.4,na
4-Aug-16,921.7,na
5-Aug-16,939.3,na
6-Aug-16,991.2,na
7-Aug-16,676.6,na
8-Aug-16,561.9,na
9-Aug-16,434.2,na
10-Aug-16,782.8,na
12-Aug-16,382.8,na
13-Aug-16,477.2,na
14-Aug-16,923.8,na
15-Aug-16,784.1,na
16-Aug-16,386.3,na
17-Aug-16,678.8,na
18-Aug-16,773.7,na
19-Aug-16,643.6,na
20-Aug-16,593.4,na
21-Aug-16,654,na
21-Aug-16,1457.3,na
22-Aug-16,802.2,na
23-Aug-16,351.3,na
24-Aug-16,490.3,na
25-Aug-16,628.7,na
26-Aug-16,527.5,na
27-Aug-16,707.5,na
28-Aug-16,734.1,na
29-Aug-16,702.6,na
30-Aug-16,582.5,na
31-Aug-16,467.8,na
1-Sep-16,788.5,na
2-Sep-16,1150.3,na
3-Sep-16,1056.7,na
4-Sep-16,583.1,na
5-Sep-16,926,na
6-Sep-16,709.2,na
7-Sep-16,893.5,na
8-Sep-16,873,na
9-Sep-16,1137.4,na
10-Sep-16,724.6,na
11-Sep-16,1047.8,na
12-Sep-16,811.2,na
13-Sep-16,1215.5,na
14-Sep-16,924,na
15-Sep-16,1706.9,na
16-Sep-16,1443.7,na
18-Sep-16,1416.6,na
19-Sep-16,1247.3,na
20-Sep-16,702.4,na
21-Sep-16,1357.3,na
22-Sep-16,1183.3,na
23-Sep-16,652.5,na
24-Sep-16,1479.7,na
25-Sep-16,1009.1,na
26-Sep-16,816.8,na
27-Sep-16,984.2,na
28-Sep-16,1221.2,na
29-Sep-16,786.1,na
30-Sep-16,1158.8,na
1-Oct-16,1552.6,na
2-Oct-16,2022.1,na
3-Oct-16,1046.1,na
5-Oct-16,445.1,na
6-Oct-16,1448.8,na
7-Oct-16,837.9,na
8-Oct-16,2567.5,na
9-Oct-16,1416.5,na
10-Oct-16,1907.9,na
11-Oct-16,838.5,na
12-Oct-16,806.9,na
13-Oct-16,1120.5,na
14-Oct-16,1672.2,na
16-Oct-16,991.9,na
16-Oct-16,725.9,na
17-Oct-16,1158.2,na
18-Oct-16,656,na
19-Oct-16,917.2,na
20-Oct-16,945.6,na
21-Oct-16,676.7,na
23-Oct-16,1226.2,na
24-Oct-16,751.9,na
24-Oct-16,651.4,na
25-Oct-16,570,na
26-Oct-16,726.9,na
27-Oct-16,1133.7,na
28-Oct-16,410.7,na
29-Oct-16,1100.4,na
30-Oct-16,580.8,na
31-Oct-16,1480.7,na
1-Nov-16,795.8,na
2-Nov-16,1161.1,na
3-Nov-16,849.4,na
4-Nov-16,1339.1,na
5-Nov-16,788.5,na
6-Nov-16,1771.5,na
7-Nov-16,999,na
8-Nov-16,1622,na
9-Nov-16,1532.1,na
10-Nov-16,1735.6,na
11-Nov-16,937,na
12-Nov-16,796.9,na
13-Nov-16,466.9,na
14-Nov-16,438.6,na
15-Nov-16,861.2,na
16-Nov-16,1045.1,na
17-Nov-16,694.9,na
18-Nov-16,1181.1,na
19-Nov-16,3297.9,na
20-Nov-16,893.8,na
21-Nov-16,1258.7,na
22-Nov-16,1409.4,na
23-Nov-16,763.6,na
24-Nov-16,1915.8,na
25-Nov-16,1447.9,na
26-Nov-16,108.9,na
28-Nov-16,726.7,na
28-Nov-16,2800.4,na
29-Nov-16,1716.6,na
30-Nov-16,2436.8,na
1-Dec-16,1431.1,na
2-Dec-16,1368.3,na
3-Dec-16,1716.9,na
4-Dec-16,2086.3,na
5-Dec-16,4333.9,na
6-Dec-16,2194.9,na
7-Dec-16,2457.2,na
8-Dec-16,1722.4,na
9-Dec-16,563.7,na
10-Dec-16,659.5,na
11-Dec-16,622.6,na
12-Dec-16,682.9,na
13-Dec-16,523,na
14-Dec-16,557,na
15-Dec-16,880,na
16-Dec-16,680.6,na
17-Dec-16,435.8,na
18-Dec-16,1137.1,na
19-Dec-16,1135.5,na
20-Dec-16,590.2,na
22-Dec-16,1744,na
22-Dec-16,857,na
23-Dec-16,995.4,na
24-Dec-16,1968.7,na
25-Dec-16,1750.9,na
26-Dec-16,774.6,na
27-Dec-16,925.4,na
28-Dec-16,952.9,na
29-Dec-16,753.3,na
30-Dec-16,1048.9,na
31-Dec-16,1041.7,na
1-Jan-17,1585.6,na
2-Jan-17,346,na
3-Jan-17,886.3,na
4-Jan-17,1233.9,na
5-Jan-17,953.3,na
7-Jan-17,653.2,na
7-Jan-17,1494,na
8-Jan-17,617.5,na
9-Jan-17,402.5,na
