ID,date,est,cort,pro
s,6/25/2015,837.7058824,365.5764706,.
s,6/25/2015,816.1598441,240.5380117,163.1578947
s,6/26/2015,746.0122699,442.6257669,.
s,6/27/2015,573.9183673,141.3795918,.
s,6/28/2015,963.4897959,598.8,254.3510204
s,6/29/2015,962.504931,410.0828402,176.6627219
s,6/30/2015,384.4747082,240.4435798,105.4785992
s,7/1/2015,882.4758221,310.2823985,110.2282398
s,7/2/2015,352.1153846,285.2307692,116.9307692
s,7/4/2015,424.4848485,286.1090909,134.0363636
s,7/5/2015,482.8988327,258.6536965,116.3346304
s,7/6/2015,413.68,273.6,105.696
s,7/7/2015,690.5335968,421.1620553,222.7588933
s,7/8/2015,593.6307054,413.9253112,111.3609959
s,7/9/2015,1255.125,374.525,335.55
s,7/10/2015,910.3244275,492.5954198,160.6259542
s,7/11/2015,2502.529183,1059.945525,310.9727626
s,7/12/2015,1121.141199,523.8452611,198.8704062
s,7/13/2015,1100.75,459.9230769,206.5846154
s,7/13/2015,776.6804979,397.0207469,141.0871369
s,7/14/2015,804.6346154,506.6538462,118.4538462
s,7/15/2015,1068.436874,390.3246493,145.2264529
s,7/16/2015,1863.463035,668.2412451,230.9182879
s,7/17/2015,846.4413519,432.8588469,125.8210736
s,7/18/2015,761.1570248,496.0909091,74.75206612
s,7/19/2015,891.1491935,604.3064516,195.8951613
s,7/20/2015,375.8531746,373.6190476,101.5714286
s,7/21/2015,472.248996,446.313253,127.0120482
s,7/22/2015,818.254902,619.4352941,187.1294118
s,7/23/2015,412.5527831,225.9040307,94.87140115
s,7/24/2015,1149.772727,536.107438,194.3553719
s,7/25/2015,824.185567,467.4309278,195.142268
s,7/26/2015,344.0740741,122.9005848,66.1754386
s,7/27/2015,625.9038462,310.5,127.3846154
s,7/28/2015,350.6639839,77.0945674,86.99396378
s,7/29/2015,841.8410853,249.9534884,192.1395349
s,7/30/2015,611.1632653,851.3877551,125.044898
s,7/31/2015,1250.039216,456.8705882,158.3294118
s,8/1/2015,455.8269231,273.7153846,132.8538462
s,8/2/2015,546.506986,240.6706587,151.6167665
s,8/3/2015,421.8019802,172.8712871,125.6792079
s,8/4/2015,730.8582834,370.7305389,182.9461078
s,8/5/2015,490.4958678,288.446281,113.8760331
s,8/6/2015,310.3784861,155.0438247,90.86055777
s,8/7/2015,711.2936345,341.8644764,174.6036961
s,8/8/2015,402.7692308,361.2923077,74.28461538
s,8/9/2015,836.0437376,529.2405567,160.3180915
s,8/10/2015,250.42,126.624,.
s,8/11/2015,405.2788845,148.876494,90
s,8/12/2015,1001.9,628.704,191.448
s,8/13/2015,424.3570058,409.8426104,61.35892514
s,8/14/2015,502.9614604,498.4989858,166.0527383
s,8/15/2015,364.2743539,422.1232604,119.666004
s,8/16/2015,511.6633663,657.5762376,145.7821782
s,8/17/2015,1543.423077,494.7230769,183.3230769
s,8/18/2015,378.9866157,404.2370937,152.2600382
s,8/19/2015,1201.936759,756.56917,178.0790514
s,8/20/2015,521.257485,473.4850299,116.4790419
s,8/21/2015,1478.732943,540.7017544,190.7368421
s,8/22/2015,885.2446184,272.853229,86.01956947
s,8/23/2015,1268.154762,411.7380952,159.7142857
s,8/24/2015,2650.159681,1641.005988,191.5688623
s,8/25/2015,1502.922465,525.6858847,144.6441352
s,8/26/2015,794.3866944,453.3804574,145.6465696
s,8/27/2015,999.5238095,376.7857143,106.7142857
s,8/28/2015,1185.571142,374.2364729,165.0661323
s,8/29/2015,1928.401559,451.7426901,209.4035088
s,8/30/2015,1378.8,225.696,.
s,8/31/2015,1287.582645,161.9752066,.
s,1/1/2016,338.9349112,349.0729783,177.8698225
s,1/2/2016,298.6720322,108.5311871,175.943662
s,1/3/2016,1067.232323,648.0969697,304.0727273
s,1/4/2016,556.3052209,423.9116466,225.686747
s,1/5/2016,860.9448819,653.1023622,328.1102362
