ct,date,ID,prog,est,cort
416,4/12/2016,s,278.3671875,879.6679688,219.7734375
417,4/13/2016,s,288.5549133,1230.481696,280
418,4/14/2016,s,309.0784708,1817.042254,352.7323944
419,4/15/2016,s,354.796875,2272.734375,539.1796875
420,4/17/2016,s,318.5590062,1491.325052,323.7101449
421,4/18/2016,s,369.7590361,1794.417671,343.5100402
422,4/19/2016,s,340.9979381,1775.340206,399.8762887
423,4/20/2016,s,355.1953578,1828.723404,597.7794971
424,4/21/2016,s,446.4280156,947.3346304,466.3657588
425,4/22/2016,s,341.7380457,1298.461538,343.7255717
426,4/23/2016,s,287.15625,1345.976563,326.71875
427,4/24/2016,s,301.5354331,1770.393701,442.3228346
428,4/25/2016,s,381.8796117,1584.252427,467.6660194
429,4/26/2016,s,339.3346856,1339.492901,295.0831643
430,4/27/2016,s,224.1481481,1096.995885,333.563786
431,4/28/2016,s,174.5096525,1276.814672,323.1428571
432,4/29/2016,s,314.4049587,1815.867769,423.7438017
433,4/30/2016,s,242.4971098,1512.83237,349.8651252
434,5/1/2016,s,208.8705882,1041.686275,223.1921569
435,5/2/2016,s,253.8292683,1160.914634,280.9430894
436,5/3/2016,s,292.9294606,1245.539419,485.0124481
437,5/4/2016,s,336.0247423,501.1340206,231.6206186
438,5/5/2016,s,278.1882353,826.4117647,286.0784314
439,5/6/2016,s,232.1257367,788.3693517,254.1925344
440,5/7/2016,s,372.4905284,1794.45663,434.1375872
441,5/8/2016,s,342.1056751,1603.444227,252.8610568
442,5/9/2016,s,399.6585366,1145.97561,238.3333333
443,5/10/2016,s,289.40625,1166.855469,210.6796875
444,5/11/2016,s,310.7667984,1219.189723,202.972332
445,5/12/2016,s,285.6798337,674.033264,164.8232848
446,5/13/2016,s,228.2994242,747.6583493,304.9673704
447,5/15/2016,s,266.3571429,876.5277778,203.7777778
448,5/16/2016,s,278.7923077,1274.692308,6122.146154
449,5/17/2016,s,330.0363636,1653.292929,244.0808081
450,5/18/2016,s,488.6019802,1750.118812,305.2752475
451,5/19/2016,s,381.22334,1798.672032,302.527163
452,5/23/2016,s,297.9604743,1153.754941,222.0948617
453,5/24/2016,s,352.0490798,1711.820041,260.6298569
454,5/25/2016,s,257.6047904,1320.618762,370.8982036
455,5/26/2016,s,223.0674847,765.3783231,229.595092
456,5/28/2016,s,328.9834711,1478.553719,265.0743802
457,5/29/2016,s,330.492986,1281.523046,320.0480962
458,6/1/2016,s,279.6244898,1262.755102,215.1591837
459,6/3/2016,s,292.5957447,2299.381044,3583.009671
460,6/5/2016,s,237.7933884,1179.524793,379.5123967
461,6/6/2016,s,307.4457831,988.7751004,430.9076305
462,6/7/2016,s,272.8897485,2092.205029,587.7833656
463,6/8/2016,s,297.4390244,1240,542.8536585
464,6/10/2016,s,219.627907,1620.697674,446.496124
465,6/11/2016,s,225.7992278,865.9459459,266.8108108
466,6/12/2016,s,211.0445344,909.1700405,565.5546559
467,6/13/2016,s,234.8148148,931.9958848,423.5061728
468,6/15/2016,s,223.9683794,1326.245059,437.1067194
469,6/16/2016,s,298.5330661,1337.374749,415.3987976
470,6/17/2016,s,265.0588235,1056.607843,375.6392157
471,6/18/2016,s,216.5,1336.904762,325.468254
472,6/19/2016,s,198.3182711,800.8644401,239.2062868
473,6/20/2016,s,197.2573674,1084.59725,308.0943026
474,6/21/2016,s,295.2426036,1186.42998,533.6252465
475,6/22/2016,s,234.2823529,1223.588235,472.854902
476,6/24/2016,s,159.5184466,679.184466,279.8524272
477,6/25/2016,s,314.1692308,1785.884615,653.0615385
478,6/29/2016,s,222.8605108,1721.552063,606.0353635
479,6/30/2016,s,170.712,378,211.808
480,7/12/2016,s,315.2177419,2233.245968,544.9596774
481,7/13/2016,s,326.313253,1813.232932,585.5662651
482,7/14/2016,s,340.6046512,1539.263566,623.2015504
483,7/17/2016,s,315.7207392,1351.252567,478.201232
484,7/18/2016,s,336.0461538,1062.461538,6569.1
485,7/19/2016,s,314.4684318,1303.360489,539.5845214
486,7/20/2016,s,290.5263158,885.2046784,543.9610136
487,7/21/2016,s,458.0963855,2568.915663,10838.38554
488,7/22/2016,s,297.6602317,1003.436293,744.5328185
489,7/23/2016,s,454.4824903,1105.038911,566.0389105
490,7/24/2016,s,279.8709677,868.4879032,568.016129
491,7/25/2016,s,427.6341948,1064.512922,792.5248509
492,7/26/2016,s,269.306288,1018.681542,436.6004057
493,7/27/2016,s,278.3907157,776.4603482,488.1547389
