Animal_ID,Count,Sex,CaptureDate,Time,Age,Repro,Mass,TestisLength,Handler,Season,Location,prog.10,est.10,cort.10,Test.10,Notes
m,,F,5/3/2015,,A,,224,,,Spring,Zoo,38.98326693,122.8466135,67.34103586,na,
p,,F,5/3/2015,,A,,228.3,,,Spring,Zoo,33.72533849,54.5377176,86.31876209,na,
s,,F,5/3/2015,,A,,225.1,,,Spring,Zoo,14.78546845,138.2887189,38.00764818,na,
m,,F,5/4/2015,,A,,224,,,Spring,Zoo,35.43614458,45.84337349,75.09638554,na,
p,,F,5/4/2015,,A,,228.3,,,Spring,Zoo,33.271875,30.278125,128.4210938,na,
s,,F,5/4/2015,,A,,225.1,,,Spring,Zoo,12.13436293,70.52123552,35.77992278,na,
m,,F,5/5/2015,,A,,224,,,Spring,Zoo,39.04186047,99.74612403,37.22790698,na,
p,,F,5/5/2015,,A,,228.3,,,Spring,Zoo,34.42774566,28.10250482,114.0693642,na,
s,,F,5/5/2015,,A,,225.1,,,Spring,Zoo,22.4008316,250.2037422,40.86237006,na,
m,,F,5/6/2015,,A,,224,,,Spring,Zoo,23.73496933,58.64212679,60.55460123,na,
p,,F,5/6/2015,,A,,228.3,,,Spring,Zoo,51.66462168,93.01022495,63.60981595,na,
s,,F,5/6/2015,,A,,225.1,,,Spring,Zoo,11.01525773,80.17319588,38.33072165,na,
g,,M,5/6/2015,,A,,213.7,,,Spring,Zoo,na,na,24.12461538,98.34230769,
a,,M,5/6/2015,,A,,228.3,,,Spring,Zoo,na,na,14.98034682,98.34230769,
b,,M,5/6/2015,,A,,222.9,,,Spring,Zoo,na,na,26.21630219,109.7654076,
m,,F,5/7/2015,,A,,224,,,Spring,Zoo,28.28769231,95.09807692,50.46,na,
p,,F,5/7/2015,,A,,228.3,,,Spring,Zoo,73.39837398,174.0430894,100.2317073,na,
s,,F,5/7/2015,,A,,225.1,,,Spring,Zoo,11.82256809,68.20428016,32.27159533,na,
m,,F,5/8/2015,,A,,224,,,Spring,Zoo,53.17615385,220.2884615,na,na,
p,,F,5/8/2015,,A,,228.3,,,Spring,Zoo,44.22035928,51.62315369,95.10179641,na,
s,,F,5/8/2015,,A,,225.1,,,Spring,Zoo,20.54074074,70.51234568,44.48148148,na,
m,,F,5/9/2015,,A,,224,,,Spring,Zoo,38.06307692,93.94230769,55.30384615,na,
p,,F,5/9/2015,,A,,228.3,,,Spring,Zoo,48.15503876,89.23178295,86.65348837,na,
s,,F,5/9/2015,,A,,225.1,,,Spring,Zoo,22.69502982,132.9403579,70.03658052,na,
m,,F,5/10/2015,,A,,224,,,Spring,Zoo,37.07368421,236.0779727,72.92163743,na,
p,,F,5/10/2015,,A,,228.3,,,Spring,Zoo,45.70967742,53.125,99.37741935,na,
s,,F,5/10/2015,,A,,225.1,,,Spring,Zoo,14.12307692,33.81538462,31.27384615,na,
m,,F,5/11/2015,,A,,224,,,Spring,Zoo,37.13266533,113.3927856,54.2741483,na,
p,,F,5/11/2015,,A,,228.3,,,Spring,Zoo,50.25396825,48.49920635,124.6714286,na,
s,,F,5/11/2015,,A,,225.1,,,Spring,Zoo,17.21387755,56.78571429,42.59510204,na,
