ct,ID-MGRS,date,prog/10,est/10,cort/10,,,,,,,,,,,,,,,,,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
81,5069,2/27/2019,229.123506,421.5478088,105.250996,,,,,,,,,,,,,,,,,,81,s,6/26/2015,.,746.0122699,442.6257669,,81,m,6/27/2015,253.5378641,491.0291262,537.6699029
82,5069,3/20/2019,532.2896282,3525.023483,660.7984344,,,,,,,,,,,,,,,,,,82,s,6/27/2015,.,573.9183673,141.3795918,,82,m,6/28/2015,223.2982456,944.3664717,565.8479532
83,5069,4/19/2019,39.36751468,81.4109589,71.15459883,,,,,,,,,,,,,,,,,,83,s,6/28/2015,254.3510204,963.4897959,598.8,,83,m,6/29/2015,361.5,1248.041667,1585.625
84,5075,3/9/2019,42.76167665,82.79640719,71.03952096,,,,,,,,,,,,,,,,,,84,s,6/29/2015,176.6627219,962.504931,410.0828402,,84,m,6/30/2015,326.2729124,1617.00611,647.9266802
85,5076,4/18/2019,32.84453441,60.91700405,223.3360324,,,,,,,,,,,,,,,,,,85,s,6/30/2015,105.4785992,384.4747082,240.4435798,,85,m,7/1/2015,232.9156627,1069.036145,499.3253012
86,5077,4/18/2019,122.7329193,176.1055901,90.73043478,,,,,,,,,,,,,,,,,,86,s,7/1/2015,110.2282398,882.4758221,310.2823985,,86,m,7/2/2015,414.1082164,788.0160321,503.7354709
87,5092,7/30/2019,159.8412698,292.1071429,80.84285714,,,,,,,,,,,,,,,,,,87,s,7/2/2015,116.9307692,352.1153846,285.2307692,,87,m,7/3/2015,198.8704062,721.4893617,301.9729207
88,5100,6/8/2019,379.338843,1060.698347,413.0553719,,,,,,,,,,,,,,,,,,88,s,7/4/2015,134.0363636,424.4848485,286.1090909,,88,m,7/4/2015,235.4457831,970.9437751,542.8674699
89,5107,8/7/2019,58.7736,107.55,60.78,,,,,,,,,,,,,,,,,,89,s,7/5/2015,116.3346304,482.8988327,258.6536965,,89,m,7/5/2015,162.2535211,386.6197183,280.1287726
90,5110,8/12/2019,224.0490798,213.3128834,83.74969325,,,,,,,,,,,,,,,,,,90,s,7/6/2015,105.696,413.68,273.6,,90,m,7/6/2015,346.8097166,1270.647773,362.0890688
91,5113,8/14/2019,144.9275362,50.75776398,105.1875776,,,,,,,,,,,,,,,,,,91,s,7/7/2015,222.7588933,690.5335968,421.1620553,,91,m,7/7/2015,141.1560694,715.6069364,436.6242775
92,p,4/3/2015,42.74493927,36.33522267,63.96194332,,,,,,,,,,,,,,,,,,92,s,7/8/2015,111.3609959,593.6307054,413.9253112,,92,m,7/8/2015,138.3083004,457.2529644,465.5573123
93,p,4/4/2015,38.85483871,57.44435484,64.34032258,,,,,,,,,,,,,,,,,,93,s,7/9/2015,335.55,1255.125,374.525,,93,m,7/9/2015,279.2470588,584.627451,398.3764706
94,p,4/5/2015,52.12474012,118.0889813,256.5130977,,,,,,,,,,,,,,,,,,94,s,7/10/2015,160.6259542,910.3244275,492.5954198,,94,m,7/10/2015,363.5650485,1346.485437,921.4834951
95,p,4/6/2015,42.80854369,58.7176699,65.83456311,,,,,,,,,,,,,,,,,,95,s,7/11/2015,310.9727626,2502.529183,1059.945525,,95,m,7/11/2015,295.6985743,943.4419552,568.9368635
96,p,4/7/2015,38.64271457,39.93772455,63.25748503,,,,,,,,,,,,,,,,,,96,s,7/12/2015,198.8704062,1121.141199,523.8452611,,96,m,7/12/2015,306,1929.311024,783.7795276
97,p,4/8/2015,44.88798371,93.73767821,96.70386965,,,,,,,,,,,,,,,,,,97,s,7/13/2015,206.5846154,1100.75,459.9230769,,97,m,7/13/2015,263.2677165,1307.69685,598.9370079
98,p,4/9/2015,39.38028169,43.76579477,82.57303823,,,,,,,,,,,,,,,,,,98,s,7/13/2015,141.0871369,776.6804979,397.0207469,,98,m,7/14/2015,316.368,909.6,737.112
99,p,4/10/2015,42.87142857,44.06111111,66.03095238,,,,,,,,,,,,,,,,,,99,s,7/14/2015,118.4538462,804.6346154,506.6538462,,99,m,7/15/2015,270.7080745,878.73706,534.0621118
100,p,4/11/2015,31.11023622,22.02125984,53.88897638,,,,,,,,,,,,,,,,,,100,s,7/15/2015,145.2264529,1068.436874,390.3246493,,100,m,7/16/2015,267.4088292,1087.56238,623.5163148
101,p,4/12/2015,36.85889571,43.82985685,65.32515337,,,,,,,,,,,,,,,,,,101,s,7/16/2015,230.9182879,1863.463035,668.2412451,,101,m,7/17/2015,265.9591837,1052.959184,1022.595918
102,p,4/13/2015,45.72580645,48.73387097,96.09193548,,,,,,,,,,,,,,,,,,102,s,7/17/2015,125.8210736,846.4413519,432.8588469,,102,m,7/18/2015,425.5740365,859.6551724,960.2677485
103,p,4/15/2015,34.55444015,26.203861,70.68185328,,,,,,,,,,,,,,,,,,103,s,7/18/2015,74.75206612,761.1570248,496.0909091,,103,m,7/19/2015,242.1496063,1111.220472,621.2834646
104,p,4/17/2015,45.07569721,39.1561753,62.90438247,,,,,,,,,,,,,,,,,,104,s,7/19/2015,195.8951613,891.1491935,604.3064516,,104,m,7/20/2015,284.3927856,985.0701403,764.8016032
105,p,4/18/2015,40.70259481,80.5245509,104.7305389,,,,,,,,,,,,,,,,,,105,s,7/20/2015,101.5714286,375.8531746,373.6190476,,105,m,7/21/2015,263.9760956,1112.011952,913.1474104
106,p,4/19/2015,40.58436214,54.08230453,96.93333333,,,,,,,,,,,,,,,,,,106,s,7/21/2015,127.0120482,472.248996,446.313253,,106,m,7/22/2015,219.096,1125.96,623.712
107,p,4/20/2015,29.55400411,26.82053388,76.04106776,,,,,,,,,,,,,,,,,,107,s,7/22/2015,187.1294118,818.254902,619.4352941,,107,m,7/24/2015,360.809816,873.9263804,1483.141104
108,p,4/21/2015,29.73809524,22.43571429,48.10238095,,,,,,,,,,,,,,,,,,108,s,7/23/2015,94.87140115,412.5527831,225.9040307,,108,m,7/25/2015,271.0588235,761.0784314,786.7764706
109,p,4/22/2015,38.82851638,58.82157996,77.98612717,,,,,,,,,,,,,,,,,,109,s,7/24/2015,194.3553719,1149.772727,536.107438,,109,m,7/26/2015,175.5449102,1187.245509,682.1796407
110,p,4/23/2015,42.89430894,81.86178862,91.13414634,,,,,,,,,,,,,,,,,,110,s,7/25/2015,195.142268,824.185567,467.4309278,,110,m,7/27/2015,337.8886756,668.2341651,907.1861804
111,p,4/24/2015,26.31578947,20.83040936,48.77192982,,,,,,,,,,,,,,,,,,111,s,7/26/2015,66.1754386,344.0740741,122.9005848,,111,m,7/28/2015,283.9159664,385.987395,771.8067227
112,p,4/25/2015,38.01165049,58.58485437,74.0807767,,,,,,,,,,,,,,,,,,112,s,7/27/2015,127.3846154,625.9038462,310.5,,112,m,7/29/2015,302.4572565,712.2664016,837.5666004
113,p,4/26/2015,40.70020121,70.22535211,66.79678068,,,,,,,,,,,,,,,,,,113,s,7/28/2015,86.99396378,350.6639839,77.0945674,,113,m,7/30/2015,283.3454545,1069.010101,917.8424242
114,p,4/27/2015,33.1372549,24.81882353,55.40705882,,,,,,,,,,,,,,,,,,114,s,7/29/2015,192.1395349,841.8410853,249.9534884,,114,m,7/31/2015,299.5485149,849.8019802,888.4990099
115,p,4/28/2015,48.6,47.13765182,88.48906883,,,,,,,,,,,,,,,,,,115,s,7/30/2015,125.044898,611.1632653,851.3877551,,115,m,8/1/2015,217.1929825,964.0545809,740.6081871
116,p,5/1/2015,35.77952756,36.81574803,72.17952756,,,,,,,,,,,,,,,,,,116,s,7/31/2015,158.3294118,1250.039216,456.8705882,,116,m,8/2/2015,304.9942197,764.0655106,873.3410405
117,p,5/2/2015,53.22645291,144.2452906,109.1735471,,,,,,,,,,,,,,,,,,117,s,8/1/2015,132.8538462,455.8269231,273.7153846,,117,m,8/3/2015,222.825,1242.375,565.8
118,p,5/3/2015,33.72533849,54.5377176,86.31876209,,,,,,,,,,,,,,,,,,118,s,8/2/2015,151.6167665,546.506986,240.6706587,,118,m,8/5/2015,169.5,959.8125,739.35
119,p,5/4/2015,33.271875,30.278125,128.4210938,,,,,,,,,,,,,,,,,,119,s,8/3/2015,125.6792079,421.8019802,172.8712871,,119,m,8/6/2015,217.1020408,1057.081633,589.1020408
