ct,ID-MGRS,date,,in-prog,in-est,in-cort,,,ct,ID-WMRS,date,in-prog,in-est,in-cort  ,,,ct,ID-PHX-1,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
32,1220,3/2/2018,,491.6296296,1245.164609,1507.259,,,32,5060,2/15/2019,388.4942085,1207.528958,399.6370656,,,32,p,5/8/2015,442.2035928,516.2315369,951.0179641,,32,s,5/7/2015,118.2256809,682.0428016,322.7159533,,32,m,5/7/2015,282.8769231,950.9807692,504.6
33,1220,4/20/2018,,294.3529412,868.1135903,990.548,,,33,5063,2/1/2019,208.5770751,286.2924901,174.3320158,,,33,p,5/9/2015,481.5503876,892.3178295,866.5348837,,33,s,5/8/2015,205.4074074,705.1234568,444.8148148,,33,m,5/8/2015,531.7615385,2202.884615,.
34,1220,5/17/2018,,1023.388781,1029.052224,566.809,,,34,5063,3/9/2019,440.6798419,717.9841897,8953.754941,,,34,p,5/10/2015,457.0967742,531.25,993.7741935,,34,s,5/9/2015,226.9502982,1329.403579,700.3658052,,34,m,5/9/2015,380.6307692,939.4230769,553.0384615
35,1220,6/18/2019,,1882.634731,1295.748503,1740.575,,,35,5067,2/18/2019,1064.742268,1473.958763,378.7051546,,,35,p,5/11/2015,502.5396825,484.9920635,1246.714286,,35,s,5/10/2015,141.2307692,338.1538462,312.7384615,,35,m,5/10/2015,370.7368421,2360.779727,729.2163743
36,1220,6/18/2019,,3269.82659,1520.809249,662.52,,,36,5067,3/4/2019,2122.886598,1801.670103,481.7319588,,,36,p,5/12/2015,351.3154639,196.1731959,1218.061856,,36,s,5/11/2015,172.1387755,567.8571429,425.9510204,,36,m,5/11/2015,371.3266533,1133.927856,542.741483
37,1220,7/10/2019,,2026.485437,2151.339806,1204.707,,,37,5069,2/27/2019,2291.23506,4215.478088,1052.50996,,,37,p,5/14/2015,405.1097804,438.6906188,864.6227545,,37,s,5/12/2015,269.6866538,1793.945841,787.0096712,,37,m,5/12/2015,370.3153846,1418.903846,660.2538462
38,1225,5/16/2018,,155.4579055,120.6570842,291.179,,,38,5069,3/20/2019,5322.896282,35250.23483,6607.984344,,,38,p,5/15/2015,450.6288032,680.3326572,955.9837728,,38,s,5/14/2015,180.9767442,2729.263566,421.3953488,,38,m,5/14/2015,469.1860465,2151.375969,985.9302326
39,1225,6/18/2018,,1345.593561,2132.655936,1264.95,,,39,5069,4/19/2019,393.6751468,814.109589,711.5459883,,,39,p,5/16/2015,375.4601227,323.2638037,892.4171779,,39,s,5/15/2015,211.1724138,788.7739464,528,,39,m,5/15/2015,282.4401544,995.3281853,329.0501931
40,1225,5/22/2019,,2927.95082,1249.180328,1014.27,,,40,5075,3/9/2019,427.6167665,827.9640719,710.3952096,,,40,p,5/17/2015,377.578125,300.0703125,951.2109375,,40,s,5/16/2015,211.3846154,1410.098619,561.3964497,,40,m,5/16/2015,300.6,1200.708333,1061.175
41,1225,5/22/2019,,2914.112903,1805.645161,564.145,,,41,5076,4/18/2019,328.4453441,609.1700405,223336.0324,,,41,p,5/18/2015,337.2639692,363.1445087,1522.196532,,41,s,5/17/2015,140.4219067,1096.73428,424.7951318,,41,m,5/17/2015,203.0103093,731.0103093,295.2
