s_est,m_est,b_agr,m_agr,s_datecolct,s_est,m_dateclct,m_est
,,,,25-Feb-16,1541.4,24-Feb-16,1149.8
,,,,26-Feb-16,na,25-Feb-16,1068.8
,,,,27-Feb-16,na,26-Feb-16,724.7
,,,,28-Feb-16,na,27-Feb-16,285.5
,,,,29-Feb-16,715.6,28-Feb-16,732
,,,,1-Mar-16,1291.7,29-Feb-16,1724
,,,,2-Mar-16,1570.7,1-Mar-16,466.4
,,,,3-Mar-16,2200.3,2-Mar-16,870.1
,,,,4-Mar-16,959.2,3-Mar-16,1016.5
,,,,5-Mar-16,2148.5,4-Mar-16,468.5
,,,,6-Mar-16,1509.9,5-Mar-16,1413
,,,,7-Mar-16,2637.5,6-Mar-16,1181
,,,,8-Mar-16,1396.2,7-Mar-16,462.5
,,,,9-Mar-16,1219,8-Mar-16,626.7
,,,,10-Mar-16,1377.5,9-Mar-16,1319.5
,,,,11-Mar-16,1788.2,10-Mar-16,850.1
,,,,12-Mar-16,995.2,11-Mar-16,433.7
,,,,13-Mar-16,807.7,12-Mar-16,1358.4
,,,,14-Mar-16,992.6,13-Mar-16,822.7
,,,,15-Mar-16,626.1,14-Mar-16,1296.1
,,,,16-Mar-16,1399.8,15-Mar-16,1541.8
,,,,17-Mar-16,1251.3,16-Mar-16,1645.6
,,,,18-Mar-16,996.1,17-Mar-16,1300.7
,,,,19-Mar-16,1503.3,18-Mar-16,1508.5
,,,,21-Mar-16,2382,19-Mar-16,1190.8
,,,,22-Mar-16,2140,20-Mar-16,506.4
,,,,23-Mar-16,1701.4,21-Mar-16,1962.4
,,,,24-Mar-16,1230.4,22-Mar-16,890.8
,,,,25-Mar-16,na,23-Mar-16,1446.1
,,,,26-Mar-16,na,24-Mar-16,1682.2
,,,,27-Mar-16,na,25-Mar-16,776.6
,,,,28-Mar-16,726.5,26-Mar-16,841.2
,,,,29-Mar-16,808,27-Mar-16,916.8
,,,,30-Mar-16,274.3,28-Mar-16,813.3
,,,,31-Mar-16,992.2,29-Mar-16,632.9
,,,,31-Mar-16,772.9,30-Mar-16,1024.1
,,,,1-Apr-16,847.6,31-Mar-16,901.6
,,,,2-Apr-16,530.1,1-Apr-16,946.3
,,,,3-Apr-16,409.7,2-Apr-16,814.2
,,,,4-Apr-16,266.1,3-Apr-16,0
,,,,5-Apr-16,498.5,4-Apr-16,708.4
,,,,6-Apr-16,1147.6,5-Apr-16,401.4
,,,,7-Apr-16,906.2,na,na
,,,,8-Apr-16,2014.4,na,na
,,,,10-Apr-16,918.8,na,na
,,,,10-Apr-16,3294.1,na,na
,,,,11-Apr-16,1387.3,na,na
,,,,12-Apr-16,879.7,na,na
,,,,13-Apr-16,1230.5,na,na
,,,,14-Apr-16,1817,na,na
,,,,15-Apr-16,2272.7,na,na
,,,,17-Apr-16,1491.3,na,na
,,,,18-Apr-16,1794.4,na,na
,,,,19-Apr-16,1775.3,na,na
,,,,20-Apr-16,1828.7,na,na
,,,,21-Apr-16,947.3,na,na
,,,,22-Apr-16,1298.5,na,na
,,,,23-Apr-16,1346,na,na
,,,,24-Apr-16,1770.4,na,na
,,,,25-Apr-16,1584.3,na,na
,,,,26-Apr-16,1339.5,na,na
,,,,27-Apr-16,1097,na,na
,,,,28-Apr-16,1276.8,na,na
,,,,29-Apr-16,1815.9,na,na
,,,,30-Apr-16,1512.8,na,na
,,,,1-May-16,1041.7,na,na
,,,,2-May-16,1160.9,na,na
,,,,3-May-16,1245.5,na,na
,,,,4-May-16,501.1,na,na
,,,,5-May-16,826.4,na,na
,,,,6-May-16,788.4,na,na
,,,,7-May-16,1794.5,na,na
,,,,8-May-16,1603.4,na,na
,,,,9-May-16,1146,na,na
,,,,10-May-16,1166.9,na,na
,,,,11-May-16,1219.2,na,na
,,,,12-May-16,674,na,na
,,,,13-May-16,747.7,na,na
,,,,15-May-16,876.5,na,na
,,,,16-May-16,1274.7,na,na
,,,,17-May-16,1653.3,na,na
,,,,18-May-16,1750.1,na,na
,,,,19-May-16,1798.7,na,na
,,,,23-May-16,1153.8,na,na
,,,,24-May-16,1711.8,na,na
,,,,25-May-16,1320.6,na,na
,,,,26-May-16,765.4,na,na
,,,,28-May-16,1478.6,na,na
,,,,29-May-16,1281.5,na,na
,,,,1-Jun-16,1262.8,na,na
,,,,3-Jun-16,2299.4,na,na
,,,,5-Jun-16,1179.5,na,na
,,,,6-Jun-16,988.8,na,na
,,,,7-Jun-16,2092.2,na,na
,,,,8-Jun-16,1240,na,na
,,,,10-Jun-16,1620.7,na,na
,,,,11-Jun-16,865.9,na,na
,,,,12-Jun-16,909.2,na,na
,,,,13-Jun-16,932,na,na
,,,,15-Jun-16,1326.2,na,na
,,,,16-Jun-16,1337.4,na,na
,,,,17-Jun-16,1056.6,na,na
,,,,18-Jun-16,1336.9,na,na
,,,,19-Jun-16,800.9,na,na
,,,,20-Jun-16,1084.6,na,na
,,,,21-Jun-16,1186.4,na,na
,,,,22-Jun-16,1223.6,na,na
,,,,24-Jun-16,679.2,na,na
,,,,25-Jun-16,1785.9,na,na
,,,,29-Jun-16,1721.6,na,na
,,,,30-Jun-16,378,na,na
,,,,12-Jul-16,2233.2,na,na
,,,,13-Jul-16,1813.2,na,na
,,,,14-Jul-16,1539.3,na,na
,,,,17-Jul-16,1351.3,na,na
,,,,18-Jul-16,1062.5,na,na
,,,,19-Jul-16,1303.4,na,na
,,,,20-Jul-16,885.2,na,na
,,,,21-Jul-16,2568.9,na,na
,,,,22-Jul-16,1003.4,na,na
,,,,23-Jul-16,1105,na,na
,,,,24-Jul-16,868.5,na,na
,,,,25-Jul-16,1064.5,na,na
,,,,26-Jul-16,1018.7,na,na
,,,,27-Jul-16,776.5,na,na
,,,,28-Jul-16,1398.9,na,na
,,,,29-Jul-16,407.5,na,na
,,,,30-Jul-16,584.1,na,na
,,,,31-Jul-16,717.2,na,na
,,,,1-Aug-16,2656.3,na,na
,,,,3-Aug-16,1132.4,na,na
,,,,4-Aug-16,921.7,na,na
,,,,5-Aug-16,939.3,na,na
,,,,6-Aug-16,991.2,na,na
,,,,7-Aug-16,676.6,na,na
,,,,8-Aug-16,561.9,na,na
,,,,9-Aug-16,434.2,na,na
,,,,10-Aug-16,782.8,na,na
,,,,12-Aug-16,382.8,na,na
,,,,13-Aug-16,477.2,na,na
,,,,14-Aug-16,923.8,na,na
,,,,15-Aug-16,784.1,na,na
,,,,16-Aug-16,386.3,na,na
,,,,17-Aug-16,678.8,na,na
,,,,18-Aug-16,773.7,na,na
,,,,19-Aug-16,643.6,na,na
,,,,20-Aug-16,593.4,na,na
,,,,21-Aug-16,654,na,na
,,,,21-Aug-16,1457.3,na,na
,,,,22-Aug-16,802.2,na,na
,,,,23-Aug-16,351.3,na,na
,,,,24-Aug-16,490.3,na,na
,,,,25-Aug-16,628.7,na,na
,,,,26-Aug-16,527.5,na,na
,,,,27-Aug-16,707.5,na,na
,,,,28-Aug-16,734.1,na,na
,,,,29-Aug-16,702.6,na,na
,,,,30-Aug-16,582.5,na,na
,,,,31-Aug-16,467.8,na,na
,,,,1-Sep-16,788.5,na,na
,,,,2-Sep-16,1150.3,na,na
,,,,3-Sep-16,1056.7,na,na
,,,,4-Sep-16,583.1,na,na
,,,,5-Sep-16,926,na,na
,,,,6-Sep-16,709.2,na,na
,,,,7-Sep-16,893.5,na,na
,,,,8-Sep-16,873,na,na
,,,,9-Sep-16,1137.4,na,na
,,,,10-Sep-16,724.6,na,na
,,,,11-Sep-16,1047.8,na,na
,,,,12-Sep-16,811.2,na,na
,,,,13-Sep-16,1215.5,na,na
,,,,14-Sep-16,924,na,na
,,,,15-Sep-16,1706.9,na,na
,,,,16-Sep-16,1443.7,na,na
,,,,18-Sep-16,1416.6,na,na
,,,,19-Sep-16,1247.3,na,na
,,,,20-Sep-16,702.4,na,na
,,,,21-Sep-16,1357.3,na,na
,,,,22-Sep-16,1183.3,na,na
,,,,23-Sep-16,652.5,na,na
,,,,24-Sep-16,1479.7,na,na
,,,,25-Sep-16,1009.1,na,na
,,,,26-Sep-16,816.8,na,na
,,,,27-Sep-16,984.2,na,na
,,,,28-Sep-16,1221.2,na,na
,,,,29-Sep-16,786.1,na,na
,,,,30-Sep-16,1158.8,na,na
,,,,1-Oct-16,1552.6,na,na
,,,,2-Oct-16,2022.1,na,na
,,,,3-Oct-16,1046.1,na,na
,,,,5-Oct-16,445.1,na,na
,,,,6-Oct-16,1448.8,na,na
,,,,7-Oct-16,837.9,na,na
,,,,8-Oct-16,2567.5,na,na
