s_datecolct,s_est,m_est
8/1/2016,2656.3,na
8/3/2016,1132.4,na
8/4/2016,921.7,na
8/5/2016,939.3,na
8/6/2016,991.2,na
8/7/2016,676.6,na
8/8/2016,561.9,na
8/9/2016,434.2,na
8/10/2016,782.8,na
8/12/2016,382.8,na
8/13/2016,477.2,na
8/14/2016,923.8,na
8/15/2016,784.1,na
8/16/2016,386.3,na
8/17/2016,678.8,na
8/18/2016,773.7,na
8/19/2016,643.6,na
8/20/2016,593.4,na
8/21/2016,654,na
8/21/2016,1457.3,na
8/22/2016,802.2,na
8/23/2016,351.3,na
8/24/2016,490.3,na
8/25/2016,628.7,na
8/26/2016,527.5,na
8/27/2016,707.5,na
8/28/2016,734.1,na
8/29/2016,702.6,na
8/30/2016,582.5,na
8/31/2016,467.8,na
9/1/2016,788.5,na
9/2/2016,1150.3,na
9/3/2016,1056.7,na
9/4/2016,583.1,na
9/5/2016,926,na
9/6/2016,709.2,na
9/7/2016,893.5,na
9/8/2016,873,na
9/9/2016,1137.4,na
9/10/2016,724.6,na
9/11/2016,1047.8,na
9/12/2016,811.2,na
9/13/2016,1215.5,na
9/14/2016,924,na
9/15/2016,1706.9,na
9/16/2016,1443.7,na
9/18/2016,1416.6,na
9/19/2016,1247.3,na
9/20/2016,702.4,na
9/21/2016,1357.3,na
9/22/2016,1183.3,na
9/23/2016,652.5,na
9/24/2016,1479.7,na
9/25/2016,1009.1,na
9/26/2016,816.8,na
9/27/2016,984.2,na
9/28/2016,1221.2,na
9/29/2016,786.1,na
9/30/2016,1158.8,na
10/1/2016,1552.6,na
10/2/2016,2022.1,na
10/3/2016,1046.1,na
10/5/2016,445.1,na
10/6/2016,1448.8,na
10/7/2016,837.9,na
10/8/2016,2567.5,na
10/9/2016,1416.5,na
10/10/2016,1907.9,na
10/11/2016,838.5,na
10/12/2016,806.9,na
10/13/2016,1120.5,na
10/14/2016,1672.2,na
10/16/2016,991.9,na
10/16/2016,725.9,na
10/17/2016,1158.2,na
10/18/2016,656,na
10/19/2016,917.2,na
10/20/2016,945.6,na
10/21/2016,676.7,na
10/23/2016,1226.2,na
10/24/2016,751.9,na
10/24/2016,651.4,na
10/25/2016,570,na
10/26/2016,726.9,na
10/27/2016,1133.7,na
10/28/2016,410.7,na
10/29/2016,1100.4,na
10/30/2016,580.8,na
10/31/2016,1480.7,na
11/1/2016,795.8,na
