p_date,p_est,p_cort,p_pro,,s_date,s_est,s_cort,s_pro,,m_date,m_est,m_cort,m_pro
22-Jun-15,439.6220472,973.2519685,320.2440945,,21-Jun-15,555.6969697,504.969697,193.3818182,,21-Jun-15,886.5225933,667.2612967,241.7445972
23-Jun-15,507.8110236,1843.370079,354.8818898,,22-Jun-15,1101.431452,662.1774194,174.0483871,,22-Jun-15,1558.722986,633.5717092,289.697446
24-Jun-15,892.6584362,1933.530864,344.526749,,23-Jun-15,556.008316,440.6320166,144.8981289,,23-Jun-15,1604.455645,652.233871,287.4193548
25-Jun-15,683.5,943.4754098,330.9836066,,24-Jun-15,617.5208333,632.625,.,,24-Jun-15,892.8066528,468.2494802,233.7380457
26-Jun-15,1566.195122,2103.731707,437.195122,,25-Jun-15,837.7058824,365.5764706,.,,25-Jun-15,643.125,550.35,197.4
27-Jun-15,396.4330709,1021.795276,310.6299213,,25-Jun-15,816.1598441,240.5380117,163.1578947,,26-Jun-15,981.4757282,534.8271845,352.8699029
28-Jun-15,1356.605108,1505.163065,454.459725,,26-Jun-15,746.0122699,442.6257669,.,,27-Jun-15,491.0291262,537.6699029,253.5378641
29-Jun-15,2492.728,1371.144,497.28,,27-Jun-15,573.9183673,141.3795918,.,,28-Jun-15,944.3664717,565.8479532,223.2982456
,,,,,28-Jun-15,963.4897959,598.8,254.3510204,,29-Jun-15,1248.041667,1585.625,361.5
,,,,,29-Jun-15,962.504931,410.0828402,176.6627219,,30-Jun-15,1617.00611,647.9266802,326.2729124
,,,,,30-Jun-15,384.4747082,240.4435798,105.4785992,,1-Jul-15,1069.036145,499.3253012,232.9156627
,655.1185825,,,,1-Jul-15,882.4758221,310.2823985,110.2282398,,2-Jul-15,788.0160321,503.7354709,414.1082164
,,,,,2-Jul-15,352.1153846,285.2307692,116.9307692,,3-Jul-15,721.4893617,301.9729207,198.8704062
,,,,,4-Jul-15,424.4848485,286.1090909,134.0363636,,4-Jul-15,970.9437751,542.8674699,235.4457831
,,,,,5-Jul-15,482.8988327,258.6536965,116.3346304,,5-Jul-15,386.6197183,280.1287726,162.2535211
,,,,,6-Jul-15,413.68,273.6,105.696,,6-Jul-15,1270.647773,362.0890688,346.8097166
,,,,,7-Jul-15,690.5335968,421.1620553,222.7588933,,7-Jul-15,715.6069364,436.6242775,141.1560694
,,,,,8-Jul-15,593.6307054,413.9253112,111.3609959,,8-Jul-15,457.2529644,465.5573123,138.3083004
,,,,,9-Jul-15,1255.125,374.525,335.55,,9-Jul-15,584.627451,398.3764706,279.2470588
,,,,,10-Jul-15,910.3244275,492.5954198,160.6259542,,10-Jul-15,1346.485437,921.4834951,363.5650485
,,,,,11-Jul-15,2502.529183,1059.945525,310.9727626,,11-Jul-15,943.4419552,568.9368635,295.6985743
,,,,,12-Jul-15,1121.141199,523.8452611,198.8704062,,12-Jul-15,1929.311024,783.7795276,306
,,,,,13-Jul-15,1100.75,459.9230769,206.5846154,,13-Jul-15,1307.69685,598.9370079,263.2677165
,,,,,13-Jul-15,776.6804979,397.0207469,141.0871369,,14-Jul-15,909.6,737.112,316.368
,,,,,14-Jul-15,804.6346154,506.6538462,118.4538462,,15-Jul-15,878.73706,534.0621118,270.7080745
,,,,,15-Jul-15,1068.436874,390.3246493,145.2264529,,16-Jul-15,1087.56238,623.5163148,267.4088292
,,,,,16-Jul-15,1863.463035,668.2412451,230.9182879,,17-Jul-15,1052.959184,1022.595918,265.9591837
,,,,,17-Jul-15,846.4413519,432.8588469,125.8210736,,18-Jul-15,859.6551724,960.2677485,425.5740365
,,,,,18-Jul-15,761.1570248,496.0909091,74.75206612,,19-Jul-15,1111.220472,621.2834646,242.1496063
,,,,,19-Jul-15,891.1491935,604.3064516,195.8951613,,20-Jul-15,985.0701403,764.8016032,284.3927856
,,,,,20-Jul-15,375.8531746,373.6190476,101.5714286,,21-Jul-15,1112.011952,913.1474104,263.9760956
,,,,,21-Jul-15,472.248996,446.313253,127.0120482,,22-Jul-15,1125.96,623.712,219.096
,,,,,22-Jul-15,818.254902,619.4352941,187.1294118,,24-Jul-15,873.9263804,1483.141104,360.809816
,,,,,23-Jul-15,412.5527831,225.9040307,94.87140115,,25-Jul-15,761.0784314,786.7764706,271.0588235
,,,,,24-Jul-15,1149.772727,536.107438,194.3553719,,26-Jul-15,1187.245509,682.1796407,175.5449102
,,,,,25-Jul-15,824.185567,467.4309278,195.142268,,27-Jul-15,668.2341651,907.1861804,337.8886756
,,,,,26-Jul-15,344.0740741,122.9005848,66.1754386,,28-Jul-15,385.987395,771.8067227,283.9159664
,,,,,27-Jul-15,625.9038462,310.5,127.3846154,,29-Jul-15,712.2664016,837.5666004,302.4572565
,,,,,28-Jul-15,350.6639839,77.0945674,86.99396378,,30-Jul-15,1069.010101,917.8424242,283.3454545
,,,,,29-Jul-15,841.8410853,249.9534884,192.1395349,,31-Jul-15,849.8019802,888.4990099,299.5485149
,,,,,30-Jul-15,611.1632653,851.3877551,125.044898,,1-Aug-15,964.0545809,740.6081871,217.1929825
,,,,,31-Jul-15,1250.039216,456.8705882,158.3294118,,2-Aug-15,764.0655106,873.3410405,304.9942197
,,,,,1-Aug-15,455.8269231,273.7153846,132.8538462,,3-Aug-15,1242.375,565.8,222.825
,,,,,2-Aug-15,546.506986,240.6706587,151.6167665,,5-Aug-15,959.8125,739.35,169.5
,,,,,3-Aug-15,421.8019802,172.8712871,125.6792079,,6-Aug-15,1057.081633,589.1020408,217.1020408
,,,,,4-Aug-15,730.8582834,370.7305389,182.9461078,,7-Aug-15,1006.687371,505.9130435,208.9937888
,,,,,5-Aug-15,490.4958678,288.446281,113.8760331,,8-Aug-15,809.5069034,738.0591716,261.9408284
,,,,,6-Aug-15,310.3784861,155.0438247,90.86055777,,9-Aug-15,992.5833333,329.675,217.725
,,,,,7-Aug-15,711.2936345,341.8644764,174.6036961,,10-Aug-15,1247.743902,524.8536585,67.68292683
,,,,,8-Aug-15,402.7692308,361.2923077,74.28461538,,11-Aug-15,1061.396304,513.0677618,258.9486653
,,,,,9-Aug-15,836.0437376,529.2405567,160.3180915,,12-Aug-15,909.8837209,.,340.255814
,,,,,10-Aug-15,250.42,126.624,.,,13-Aug-15,3923.083004,421.4940711,248.0158103
,,,,,11-Aug-15,405.2788845,148.876494,90,,14-Aug-15,609.0891473,1010.302326,415.5348837
,,,,,12-Aug-15,1001.9,628.704,191.448,,15-Aug-15,445.3469388,392.3265306,160.5306122
,,,,,13-Aug-15,424.3570058,409.8426104,61.35892514,,16-Aug-15,765.9719439,237.8597194,89.60320641
,,,,,14-Aug-15,502.9614604,498.4989858,166.0527383,,17-Aug-15,1684.045643,512.5643154,252.2987552
,,,,,15-Aug-15,364.2743539,422.1232604,119.666004,,18-Aug-15,1174.802495,643.3347193,248.4823285
,,,,,16-Aug-15,511.6633663,657.5762376,145.7821782,,19-Aug-15,624.0588235,910.6352941,331.6941176
,,,,,17-Aug-15,1543.423077,494.7230769,183.3230769,,20-Aug-15,1060.323232,412.7757576,169.5272727
,,,,,18-Aug-15,378.9866157,404.2370937,152.2600382,,21-Aug-15,539.95842,462.3866944,226.3284823
,,,,,19-Aug-15,1201.936759,756.56917,178.0790514,,22-Aug-15,482.2199593,752.5784114,191.4378819
