Date,ID,Est,lest,pro,lpro,cort,lcort,maleAgg,M_Agg_Intense,lmagg,femagg,F_Agg_Intense,lfagg,in tun,lintun
9-May-16,a-s,1145.97561,0.326885476,238.3333333,2.377184787,399.6585366,2.601689094,0,1,0.1,0,1,0.1,0,0.1
11-May-16,a-s,1219.189723,0.324036584,202.972332,2.307436841,310.7667984,2.492434614,0,1,0.1,0,1,0.1,0,0.1
12-May-16,a-s,674.033264,0.353521618,164.8232848,2.217018565,285.6798337,2.455879584,0,1,0.1,0,1,0.1,0,0.1
30-Jul-15,m-a,1069.010101,0.330143944,917.8424242,2.962768128,283.3454545,2.45231625,1,1,1.1,0,1,0.1,1,1.1
2-Aug-15,m-a,764.0655106,0.346845197,873.3410405,2.941183869,304.9942197,2.484291609,1,1,1.1,1,1,1.1,1,1.1
3-Aug-15,m-a,1242.375,0.32317981,565.8,2.752662943,222.825,2.347963915,0,1,0.1,0,1,0.1,0,0.1
5-Aug-15,m-a,959.8125,0.335324445,739.35,2.868850077,169.5,2.229169703,0,1,0.1,0,1,0.1,0,0.1
6-Aug-15,m-a,1057.081633,0.330675963,589.1020408,2.770190527,217.1020408,2.336663906,0,1,0.1,0,1,0.1,0,0.1
7-Aug-15,m-a,1006.687371,0.333012019,505.9130435,2.704075877,208.9937888,2.320133379,0,1,0.1,0,1,0.1,0,0.1
8-Aug-15,m-a,809.5069034,0.343852875,738.0591716,2.868091181,261.9408284,2.418203197,2,2,2.1,2,2,2.1,2,2.1
9-Aug-15,m-a,992.5833333,0.333692945,329.675,2.518086015,217.725,2.337908299,0,1,0.1,0,1,0.1,0,0.1
10-Aug-15,m-a,1247.743902,0.322984328,524.8536585,2.720038229,67.68292683,1.830479131,5,5,5.1,5,5,5.1,5,5.1
11-Aug-15,m-a,1061.396304,0.330482637,513.0677618,2.710174727,258.9486653,2.413213677,2,2,2.1,1,1,1.1,5,5.1
12-Aug-15,m-a,909.8837209,0.337953622,.,.,340.255814,2.531805555,6,5,6.1,6,5,6.1,6,6.1
13-Aug-15,m-a,3923.083004,0.278270355,421.4940711,2.62479147,248.0158103,2.394479367,1,1,1.1,1,1,1.1,1,1.1
15-Aug-15,m-a,445.3469388,0.377543919,392.3265306,2.593647678,160.5306122,2.205557862,0,1,0.1,0,1,0.1,0,0.1
16-Aug-15,m-a,765.9719439,0.346715048,237.8597194,2.376320902,89.60320641,1.952323551,4,4,4.1,2,2,2.1,5,5.1
17-Aug-15,m-a,1684.045643,0.309947403,512.5643154,2.709748367,252.2987552,2.401915108,3,3,3.1,2,2,2.1,5,5.1
16-Mar-16,m-a,1645.613682,0.310913574,480.193159,2.681415969,359.4857143,2.555681637,0,1,0.1,0,1,0.1,0,0.1
17-Mar-16,m-a,1300.736196,0.321110866,325.4805726,2.512525071,389.8430584,2.590889806,1,1,1.1,1,1,1.1,1,1.1
18-Mar-16,m-a,1508.49505,0.314609467,965.449505,2.984729564,275.7791411,2.440561415,3,3,3.1,3,3,3.1,4,4.1
15-May-15,m-b,995.3281853,0.333559453,329.0501931,2.51726215,282.4401544,2.45092644,2,2,2.1,2,2,2.1,3,3.1
16-May-15,m-b,1200.708333,0.324734628,1061.175,3.02578701,300.6,2.477988976,0,1,0.1,0,1,0.1,0,0.1
17-May-15,m-b,731.0103093,0.349171338,295.2,2.470116353,203.0103093,2.307518093,1,1,1.1,0,1,0.1,2,2.1
18-May-15,m-b,1232.978723,0.323524546,602.7852998,2.780162653,279.1566731,2.445848014,0,1,0.1,0,1,0.1,1,1.1
19-May-15,m-b,1755.360624,0.308226597,615.2748538,2.789069166,303.9298246,2.482773319,0,1,0.1,0,1,0.1,0,0.1
20-May-15,m-b,1111.309524,0.32831719,654.5,2.815909651,257,2.409933123,1,1,1.1,0,1,0.1,2,2.1
21-May-15,m-b,862.2131148,0.340644168,435,2.638489257,272.3606557,2.435144371,4,4,4.1,0,1,0.1,5,5.1
22-May-15,m-b,774.7572816,0.346120685,697.3747573,2.843466223,283.3165049,2.452271876,1,1,1.1,0,1,0.1,3,3.1
23-May-15,m-b,1130.852391,0.327503131,588.7484407,2.76992977,352.2162162,2.546809347,1,1,1.1,0,1,0.1,1,1.1
24-May-15,m-b,1354.169884,0.319318125,621.3359073,2.793326452,344.015444,2.53657794,1,1,1.1,0,1,0.1,3,3.1
25-May-15,m-b,829.7490347,0.342589325,391.042471,2.592223929,279.034749,2.445658291,4,4,4.1,0,1,0.1,5,5.1
26-May-15,m-b,970.3696099,0.334791105,813.4620123,2.910337277,300.7145791,2.478154484,1,1,1.1,0,1,0.1,1,1.1
27-May-15,m-b,909.5,0.337974546,427.632,2.631070196,300.816,2.478300932,1,1,1.1,0,1,0.1,3,3.1
28-May-15,m-b,756.955684,0.347334327,675.3757225,2.829545445,291.0520231,2.463970622,1,1,1.1,1,1,1.1,1,1.1
29-May-15,m-b,497.5396825,0.370806037,392.1190476,2.593417939,190.2142857,2.279243131,1,1,1.1,0,1,0.1,1,1.1
30-May-15,m-b,697.6595745,0.351661514,503.1411992,2.701689881,199.9148936,2.30084515,0,1,0.1,0,1,0.1,2,2.1
1-Jun-15,m-b,1403.77551,0.317732896,567.5755102,2.754023648,310.8489796,2.492549446,5,5,5.1,3,3,3.1,5,5.1
