id,date,day,m_est,m_pro,m_cort
yearb,1/16/2016,166,732.0408163,263.6737864,754.922449
yearb,1/17/2016,167,683.7649402,369.1102041,800.0239044
yearb,1/18/2016,168,951.6700201,312.310757,1046.366197
yearb,1/19/2016,169,1506.803922,507.0422535,554.4941176
yearb,1/20/2016,170,1346.605691,446.1176471,438.0894309
yearb,1/21/2016,171,2155.393939,378.0731707,958.8929293
yearb,1/22/2016,172,1305.489022,474.0363636,577.6686627
yearb,1/23/2016,173,1494.603175,426.6826347,547.5634921
yearb,1/24/2016,174,699.7368421,259.9285714,338.4777328
yearb,1/25/2016,175,886.9685039,305.708502,376.1574803
yearb,1/26/2016,176,1010.909091,306.9212598,412.5656566
yearb,1/27/2016,177,585.2631579,309.1636364,274.7758285
yearb,1/28/2016,178,532.0750988,189.0526316,268.1343874
yearb,1/29/2016,179,776.4848485,192.6640316,399.9111111
yearb,1/30/2016,180,1925.317919,299.3454545,623.0211946
yearb,1/31/2016,181,988.4241245,582.7976879,372.2801556
yearb,2/1/2016,182,1568.203125,310.1322957,535.7265625
yearb,2/2/2016,183,1491.284585,343.6875,332.3715415
yearb,2/3/2016,184,1929.719439,315.4624506,510.501002
yearb,2/4/2016,185,1875.964215,330.5651303,573.2962227
yearb,2/5/2016,186,2373.938224,387.554672,553.4903475
yearb,2/6/2016,187,545.7746479,311.1428571,251.2354125
yearb,2/7/2016,188,1295.769981,178.1891348,575.7348928
yearb,2/8/2016,189,1659.860835,295.5087719,576.0795229
yearb,2/9/2016,190,2762.811881,360.7157058,582.7564356
yearb,2/10/2016,191,2058.585462,422.9465347,464.1493124
yearb,2/11/2016,192,2462.192308,340.762279,486.7846154
yearb,2/12/2016,193,1778.31068,279.6923077,515.4640777
yearb,2/13/2016,194,2588.431772,262.7650485,525.6130346
yearb,2/14/2016,195,857.02,336.5376782,323.256
yearb,2/15/2016,196,1532.768031,362.376,331.1890838
yearb,2/16/2016,197,2113.727088,163.3684211,416.3340122
yearb,2/17/2016,198,2273.910387,184.5458248,521.7678208
yearb,2/18/2016,199,951.2851406,181.0264766,470.9076305
yearb,2/19/2016,200,1472.217742,133.6565657,651.9758065
yearb,2/20/2016,201,158.5686654,380.25,81.0754352
yearb,2/21/2016,202,1455.898438,73.09090909,461.3125
yearb,2/22/2016,203,1393.722772,271.8984375,526.4079208
yearb,2/23/2016,204,1310.039216,273.8138614,585.654902
yearb,2/24/2016,205,1149.787645,379.5529412,453.8841699
yearb,2/25/2016,206,1068.822314,243.6602317,696.7107438
yearb,2/26/2016,207,724.6850394,286.7355372,374.5748031
yearb,2/27/2016,208,285.5060729,261.496063,176.3076923
yearb,2/28/2016,209,731.9556452,219.8623482,195.0241935
yearb,2/29/2016,210,1724.038462,228.5564516,4021.269231
yearb,3/1/2016,211,466.3600783,254.1686747,4951.726027
yearb,3/2/2016,212,870.1386139,368.8062622,491.3346535
yearb,3/3/2016,213,1016.546906,338.1861386,480.5429142
yearb,3/4/2016,214,468.5062241,353.1017964,336.3070539
yearb,3/5/2016,215,1413.034623,244.5311203,406.2729124
yearb,3/6/2016,216,1181.040816,430.3869654,530.5061224
yearb,3/7/2016,217,462.4902724,348.0979592,1895.486381
yearb,3/8/2016,218,626.7184466,307.8910506,128.0621359
yearb,3/9/2016,219,1319.524752,328.7533981,503.8415842
yearb,3/10/2016,220,850.0779727,377.1089109,389.0604288
yearb,3/11/2016,221,433.7449393,334.5964912,167.3036437
yearb,3/12/2016,222,1358.439425,180.582996,439.8193018
yearb,3/13/2016,223,822.7360308,349.1334702,372.9325626
yearb,3/14/2016,224,1296.115385,350.0809249,369.6692308
yearb,3/15/2016,225,1541.77551,340.7538462,502.3755102
yearb,3/16/2016,226,1645.613682,359.4857143,480.193159
yearb,3/17/2016,227,1300.736196,389.8430584,325.4805726
yearb,3/18/2016,228,1508.49505,275.7791411,965.449505
yearb,3/19/2016,229,1190.838446,309.1722772,373.202454
yearb,3/20/2016,230,506.3510848,347.9263804,180.8915187
yearb,3/21/2016,231,1962.370062,91.85798817,334.9355509
yearb,3/22/2016,232,890.8436214,371.002079,970.1234568
yearb,3/23/2016,233,1446.097561,317.9259259,532.0162602
yearb,3/24/2016,234,1682.18,336.6585366,572.096
yearb,3/25/2016,235,776.6336634,416.448,470.970297
yearb,3/26/2016,236,841.1597374,290.2811881,386.7571116
yearb,3/27/2016,237,916.765873,300.6827133,378.6031746
yearb,3/28/2016,238,813.2591093,212.4285714,321.4817814
yearb,3/29/2016,239,632.8543307,282.0242915,273.7637795
yearb,3/30/2016,240,1024.13442,248.2440945,472.9857434
yearb,3/31/2016,241,901.6283525,274.2892057,313.4329502
yearb,4/1/2016,242,946.2680412,284,301.4845361
yearb,4/2/2016,243,814.194831,268.1072165,391.1093439
yearb,4/3/2016,244, ,255.5069583,377.6957404
yearb,4/4/2016,245,708.4156379, ,1523.061728
yearb,4/5/2016,246,401.4478114,329.3333333,80.47138047
