"","id","day","date","s_est","s_cort","s_pro","id_1","day_1","date_1","s_est1","s_cort_1","s_pro1"
"83","yeara",83,"6/28/2015",963.5,598.8,254.4,"yearb",83,"7/23/2016",1105,566,454.5
"86","yeara",86,"7/1/2015",882.5,310.3,110.2,"yearb",86,"7/26/2016",1018.7,436.6,269.3
"87","yeara",87,"7/2/2015",352.1,285.2,116.9,"yearb",87,"7/27/2016",776.5,488.2,278.4
"88","yeara",88,"7/4/2015",424.5,286.1,134,"yearb",88,"7/28/2016",1398.9,463.9,382.3
"89","yeara",89,"7/5/2015",482.9,258.7,116.3,"yearb",89,"7/29/2016",407.5,319.3,241.1
"90","yeara",90,"7/6/2015",413.7,273.6,105.7,"yearb",90,"7/30/2016",584.1,310.9,346.5
"91","yeara",91,"7/7/2015",690.5,421.2,222.8,"yearb",91,"7/31/2016",717.2,634.6,312.7
"92","yeara",92,"7/8/2015",593.6,413.9,111.4,"yearb",92,"8/1/2016",2656.3,1066.7,378.7
"93","yeara",93,"7/9/2015",1255.1,374.5,335.6,"yearb",93,"8/3/2016",1132.4,623.1,337.8
"94","yeara",94,"7/10/2015",910.3,492.6,160.6,"yearb",94,"8/4/2016",921.7,600,250.9
"95","yeara",95,"7/11/2015",2502.5,1059.9,311,"yearb",95,"8/5/2016",939.3,1099.8,389.2
"100","yeara",100,"7/15/2015",1068.4,390.3,145.2,"yearb",100,"8/10/2016",782.8,474.2,250.4
"101","yeara",101,"7/16/2015",1863.5,668.2,230.9,"yearb",101,"8/12/2016",382.8,345,192.2
"118","yeara",118,"8/2/2015",546.5,240.7,151.6,"yearb",118,"8/28/2016",734.1,564,239.8
